LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate,ParameterList
2622,05-12,03:19:38.976,10137,REL,GCoreFlp,e06004e6,GCoreFlp,[]
2623,05-12,03:19:38.983,10137,ACQ,NlpWakeLock (partial),bd8ac4d0,NlpWakeLock (partial),[]
2624,05-12,03:19:38.987,10137,REL,NlpWakeLock,03b55498,NlpWakeLock,[]
2625,05-12,03:19:45.059,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2626,05-12,03:19:45.060,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2627,05-12,03:19:45.060,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2628,05-12,03:19:45.302,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2629,05-12,03:19:45.302,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2630,05-12,03:19:46.770,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2631,05-12,03:19:46.770,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2632,05-12,03:19:46.923,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2633,05-12,03:19:46.923,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2634,05-12,03:19:48.428,1000,ACQ,*vibrator* (partial),fa1f567a,*vibrator* (partial),[]
2635,05-12,03:19:48.462,1000,REL,*vibrator*,8398adf0,*vibrator*,[]
2636,05-12,03:19:49.545,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2637,05-12,03:19:49.546,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2638,05-12,03:19:49.549,1000,ACQ,*launch* (partial),6b25d8e6,*launch* (partial),[]
2639,05-12,03:19:49.616,1000,REL,*launch*,10feb835,*launch*,[]
2640,05-12,03:19:49.693,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2641,05-12,03:19:49.694,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2642,05-12,03:19:51.155,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2643,05-12,03:19:51.155,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2644,05-12,03:19:51.160,1000,ACQ,*launch* (partial),6b25d8e6,*launch* (partial),[]
2645,05-12,03:19:51.283,10135,ACQ,fiid-sync (partial),bd2ed941,fiid-sync (partial),[]
2646,05-12,03:19:51.286,10135,REL,fiid-sync,1483ed2f,fiid-sync,[]
2647,05-12,03:19:51.294,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
2648,05-12,03:19:51.294,1041,ACQ,AudioMix (partial),40f3b02b,AudioMix (partial),[]
2649,05-12,03:19:51.740,1000,REL,*launch*,10feb835,*launch*,[]
2650,05-12,03:19:53.043,1000,ACQ,*launch* (partial),6b25d8e6,*launch* (partial),[]
