LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate,ParameterList
3551,01-14,18:59:48.716,1001,ACQ,*telephony-sem-radio* (partial),9cef9b02,*telephony-sem-radio* (partial),[]
3552,01-14,18:59:48.716,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3553,01-14,18:59:48.716,1001,ACQ,*telephony-sem-radio* (partial),9cef9b02,*telephony-sem-radio* (partial),[]
3554,01-14,18:59:48.716,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
3555,01-14,18:59:48.716,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
3556,01-14,18:59:48.716,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
3557,01-14,18:59:48.717,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
3558,01-14,18:59:48.717,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
3559,01-14,18:59:48.717,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
3560,01-14,18:59:48.719,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3561,01-14,18:59:48.719,1001,ACQ,*telephony-sem-radio* (partial),9cef9b02,*telephony-sem-radio* (partial),[]
3562,01-14,18:59:48.726,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3563,01-14,18:59:48.733,1001,ACQ,RILJ_ACK_WL (partial),7f37ac5e,RILJ_ACK_WL (partial),[]
3564,01-14,18:59:48.750,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
3565,01-14,18:59:48.750,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
3566,01-14,18:59:48.750,1001,ACQ,RILS (partial),06459547,RILS (partial),[]
3567,01-14,18:59:48.750,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
3568,01-14,18:59:48.754,1001,REL,RILS,9f1541f0,RILS,[]
3569,01-14,18:59:48.761,1001,ACQ,*telephony-sem-radio* (partial),9cef9b02,*telephony-sem-radio* (partial),[]
3570,01-14,18:59:48.762,1001,REL,*telephony-sem-radio*,7082e793,*telephony-sem-radio*,[]
3571,01-14,18:59:48.762,1001,ACQ,*telephony-sem-radio* (partial),9cef9b02,*telephony-sem-radio* (partial),[]
3572,01-14,18:59:48.787,10234,ACQ,NlpWakeLock (partial),bd8ac4d0,NlpWakeLock (partial),[]
3573,01-14,18:59:48.789,10234,ACQ,Wakeful StateMachine: GeofencerStateMachine (partial),237d19a3,Wakeful StateMachine: GeofencerStateMachine (partial),[]
3574,01-14,18:59:48.790,10234,REL,Wakeful StateMachine: GeofencerStateMachine,f4f09ce2,Wakeful StateMachine: GeofencerStateMachine,[]
3575,01-14,18:59:48.790,10234,REL,NlpWakeLock,03b55498,NlpWakeLock,[]
3576,01-14,18:59:48.867,1000,REL,DreamManagerService,f14e19a1,DreamManagerService,[]
3577,01-14,18:59:48.873,10038,ACQ,Doze (partial),db381234,Doze (partial),[]
