EventId,EventTemplate,Occurrences
ae97a1a7,"Display device changed: DisplayDeviceInfo{""Tela integrada"": uniqueId=""local:<*>"", <*> x <*>, modeId <*>, defaultModeId <*>, supportedModes [{id=<*>, width=<*>, height=<*>, fps=<*>.<*>, alternativeRefreshRates=[<*>.<*>]}, {id=<*>, width=<*>, height=<*>, fps=<*>.<*>, alternativeRefreshRates=[<*>.<*>]}], supportedReadyForModes [], colorMode <*>, supportedColorModes [<*>, <*>], hdrCapabilities HdrCapabilities{mSupportedHdrTypes=[<*>, <*>], mMaxLuminance=<*>.<*>, mMaxAverageLuminance=<*>.<*>, mMinLuminance=<*>.<*>}, allmSupported false, gameContentTypeSupported false, density <*>, <*>.<*> x <*>.<*> dpi, appVsyncOff <*>, presDeadline <*>, cutout DisplayCutout{insets=Rect(<*>, <*> - <*>, <*>) waterfall=Insets{left=<*>, top=<*>, right=<*>, bottom=<*>} boundingRect={Bounds=[Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>)]} cutoutPathParserInfo={CutoutPathParserInfo{displayWidth=<*> displayHeight=<*> density={<*>.<*>} cutoutSpec={M -<*>,<*> L -<*>,<*> L <*>,<*> L <*>,<*> Z} rotation={<*>} scale={<*>.<*>}}}}, touch INTERNAL, rotation <*>, type INTERNAL, address {port=<*>, model=<*>}, deviceProductInfo DeviceProductInfo{name=, manufacturerPnpId=QCM, productId=<*>, modelYear=null, manufactureDate=ManufactureDate{week=<*>, year=<*>}, connectionToSinkType=<*>}, state <*> frameRateOverride , brightnessMinimum <*>.<*>, brightnessMaximum <*>.<*>, brightnessDefault <*>.<*>, roundedCorners RoundedCorners{[RoundedCorner{position=TopLeft, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=TopRight, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=BottomRight, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=BottomLeft, radius=<*>, center=Point(<*>, <*>)}]}, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}",3
3a0da53b,<*> <*> { <*> <*> <*> <*> <*>,3
417a4ddf,<*> <*> listener <*> <*> <*>,3
84d99a6c,<*> <*> <*> for <*> <*> <*>,37
99466db1,<*> <*> <*> is <*>,21
27a785bd,<*> <*> <*> <*> <*> <*> <*> = <*>,6
60c33ebb,<*> <*> <*> <*> with <*>,18
fec29a93,<*> <*> <*> = <*> <*> <*>,12
dd80ef10,"<*> <*> <*> <*> <*> <*>, <*> <*>, <*> <*>, <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>",12
0ac082cf,applyOemOverride usbfunctions=mtp bootmode=normal,3
efe36545,readCommaParameters: <*> Not Found.,3
e3f1040c,<*> <*> <*> for <*>,14
71f13883,setInteractive <*>,10
d84da077,Display <*> <*> <*>,16
c67f423c,<*>.,8
90f9104f,Setting <*>,16
dc16cfc2,finishScreenTurningOn..,8
e5d8bc0d,enableScreen mKeyguardDrawnOnce=true <*> mBootMessageNeedsHiding=false,8
e490a529,<*> <*> not <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,16
f1463cf0,Calling a method in the system process without a qualified user: <*>:<*> <*>:<*> <*>:<*> <*> <*>,7
c223ba1e,<*> <*> <*> <*> { <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,70
5a3fa17e,Calling a method in the system process without a qualified user: <*>:<*> <*> <*> <*> <*>,21
2f8456f4,<*> <*> <*> <*> { <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,21
7a4e5702,<*> <*> <*> <*> { <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,28
02e045e1,<*> <*> <*> <*> and <*> <*> <*>,4
fb4cee67,<*> <*> <*> <*> { <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
ee87029a,<*> <*> <*> <*> { <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
aaace1fe,Failed to <*> <*> <*> for <*>,6
cd77432c,<*> <*> not <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,2
b276fa08,<*> on <*> <*> <*> <*> <*> <*> <*>,3
82d33620,<*> <*> from <*> <*> <*> <*>,3
8c7c4d1c,<*> waking <*> <*>,3
64f4093a,<*> <*> <*> from <*>,61
e241ad93,Stopping <*> <*> <*> <*> <*> <*> <*> <*> <*>,3
a76bfd12,Finished waking <*> <*>,3
c35addb0,powerPress: eventTime=<*> interactive=true count=<*> <*> mShortPressOnPowerBehavior=<*>,4
5feae827,"<*> <*> <*>, <*> <*>",91
efe55f71,<*> <*> -<*>,4
2e149570,found a <*> <*> <*> -<*>,3
503bc0af,"<*> <*> <*> <*>, <*> <*> <*> <*> <*> <*> user: <*>, <*> <*> <*> <*> <*> <*> <*> <*> <*>",3
578ccd39,<*> <*> <*> <*> <*> <*> <*> for <*> <*> <*> <*>,3
64f7f237,"<*> <*> <*>, <*> <*>, <*> <*>",6
28ed7302,addAuthToken: <*>,3
829dd57b,<*> <*> <*> <*> <*> <*> for <*> <*>,4
ac808d8f,<*> <*> <*> to <*>,47
4f921eee,<*> to <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,19
8ecad7b7,<*> <*> not <*> <*> <*> <*> <*> <*> <*> <*> <*>,15
3307d7a7,"Slow operation: <*> so far, now at startProcess: <*> from <*>",5
4eb9c9c9,Slow <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,15
563b99fd,"Slow operation: <*> so far, now at startProcess: <*> <*> <*>",7
