LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate
106,01-09,12:22:12.007,10182,REL,MotoDisplayWakeLock,E0,MotoDisplayWakeLock
107,01-09,12:22:12.021,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
108,01-09,12:22:12.021,1001,REL,*telephony-radio*,E24,*telephony-radio*
109,01-09,12:22:12.021,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
110,01-09,12:22:12.024,1001,REL,*telephony-radio*,E24,*telephony-radio*
111,01-09,12:22:12.025,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
112,01-09,12:22:12.025,1001,REL,*telephony-radio*,E24,*telephony-radio*
113,01-09,12:22:12.027,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
114,01-09,12:22:12.028,1001,REL,*telephony-radio*,E24,*telephony-radio*
115,01-09,12:22:12.028,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
116,01-09,12:22:12.030,10241,ACQ,Scrims (partial),E143,Scrims (partial)
117,01-09,12:22:12.031,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
118,01-09,12:22:12.031,1001,REL,*telephony-radio*,E24,*telephony-radio*
119,01-09,12:22:12.031,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
120,01-09,12:22:12.034,1000,ACQ,NetworkStats (partial),E145,NetworkStats (partial)
121,01-09,12:22:12.046,1001,REL,*telephony-radio*,E24,*telephony-radio*
122,01-09,12:22:12.046,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
123,01-09,12:22:12.046,1001,REL,*telephony-radio*,E24,*telephony-radio*
124,01-09,12:22:12.047,1000,REL,NetworkStats,E25,NetworkStats
125,01-09,12:22:12.052,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
126,01-09,12:22:12.052,1001,REL,*telephony-radio*,E24,*telephony-radio*
127,01-09,12:22:12.052,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
128,01-09,12:22:12.053,1001,REL,*telephony-radio*,E24,*telephony-radio*
129,01-09,12:22:12.054,1001,ACQ,*telephony-radio* (partial),E142,*telephony-radio* (partial)
