LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate
2426,01-09,20:52:43.958,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2427,01-09,20:52:43.961,10120,ACQ,IWLAN_PROXY_WL (partial),7a690d26,* (partial)
2428,01-09,20:52:43.963,1001,REL,*telephony-radio*,3389dae3,*
2429,01-09,20:52:43.963,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2430,01-09,20:52:43.964,1001,REL,*telephony-radio*,3389dae3,*
2431,01-09,20:52:43.964,10120,REL,IWLAN_PROXY_WL,3389dae3,*
2432,01-09,20:52:43.976,1001,REL,*telephony-radio*,3389dae3,*
2433,01-09,20:52:43.976,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2434,01-09,20:52:43.977,1001,REL,*telephony-radio*,3389dae3,*
2435,01-09,20:52:43.988,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2436,01-09,20:52:44.002,1000,REL,NetworkStats,3389dae3,*
2437,01-09,20:52:44.006,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2438,01-09,20:52:44.020,1000,REL,NetworkStats,3389dae3,*
2439,01-09,20:52:44.024,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2440,01-09,20:52:44.042,1000,REL,NetworkStats,3389dae3,*
2441,01-09,20:52:44.050,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2442,01-09,20:52:44.056,1000,ACQ,startDream (partial),7a690d26,* (partial)
2443,01-09,20:52:44.071,1000,REL,NetworkStats,3389dae3,*
2444,01-09,20:52:44.074,10264,ACQ,Doze (partial),7a690d26,* (partial)
2445,01-09,20:52:44.075,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2446,01-09,20:52:44.090,10264,ACQ,Scrims (partial),7a690d26,* (partial)
2447,01-09,20:52:44.093,1000,REL,NetworkStats,3389dae3,*
2448,01-09,20:52:44.101,1000,ACQ,DreamManagerService (doze),929e4cf5,DreamManagerService (doze)
2449,01-09,20:52:44.102,1000,REL,startDream,3389dae3,*
2450,01-09,20:52:44.102,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2451,01-09,20:52:44.103,10264,ACQ,show keyguard (partial),4ca381e5,show keyguard (partial)
2452,01-09,20:52:44.109,1000,REL,NetworkStats,3389dae3,*
2453,01-09,20:52:44.114,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2454,01-09,20:52:44.115,1001,REL,*telephony-radio*,3389dae3,*
2455,01-09,20:52:44.115,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2456,01-09,20:52:44.123,1001,REL,*telephony-radio*,3389dae3,*
2457,01-09,20:52:44.123,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2458,01-09,20:52:44.123,1001,REL,*telephony-radio*,3389dae3,*
2459,01-09,20:52:44.151,1001,REL,RILJ_ACK_WL,3389dae3,*
2460,01-09,20:52:44.174,10264,REL,show keyguard,ca94f536,show keyguard
2461,01-09,20:52:44.212,10264,REL,Doze,3389dae3,*
2462,01-09,20:52:44.242,10161,ACQ,AnalyticsIntentService (partial),7a690d26,* (partial)
2463,01-09,20:52:44.253,10182,ACQ,Wakeful StateMachine: GeofencerStateMachine (partial),237d19a3,Wakeful StateMachine: GeofencerStateMachine (partial)
2464,01-09,20:52:44.253,10182,REL,Wakeful StateMachine: GeofencerStateMachine,f4f09ce2,Wakeful StateMachine: GeofencerStateMachine
2465,01-09,20:52:44.263,10182,ACQ,NlpWakeLock (partial),7a690d26,* (partial)
2466,01-09,20:52:44.268,1000,ACQ,*job*/c.m.m/.a.AnalyticsIntentService (partial),7a690d26,* (partial)
2467,01-09,20:52:44.269,10182,REL,NlpWakeLock,3389dae3,*
2468,01-09,20:52:44.295,1000,ACQ,WifiSuspend (partial),7a690d26,* (partial)
2469,01-09,20:52:44.305,1000,REL,WifiSuspend,3389dae3,*
2470,01-09,20:52:44.406,10161,REL,AnalyticsIntentService,3389dae3,*
2471,01-09,20:52:44.409,1000,REL,*job*/c.m.m/.a.AnalyticsIntentService,3389dae3,*
2472,01-09,20:52:44.532,1041,REL,AudioMix,3389dae3,*
2473,01-09,20:52:44.535,1041,REL,AudioMix,3389dae3,*
2474,01-09,20:52:44.540,1041,REL,AudioMix,3389dae3,*
2475,01-09,20:52:44.723,10264,REL,Scrims,3389dae3,*
2476,01-09,20:52:45.015,1041,REL,AudioMix,3389dae3,*
2477,01-09,20:52:46.390,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2478,01-09,20:52:46.392,1001,REL,*telephony-radio*,3389dae3,*
2479,01-09,20:52:46.392,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2480,01-09,20:52:46.402,1001,REL,*telephony-radio*,3389dae3,*
2481,01-09,20:52:46.402,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2482,01-09,20:52:46.403,1001,REL,*telephony-radio*,3389dae3,*
2483,01-09,20:52:54.144,10161,ACQ,MotoDisplayWakeLock (partial),7a690d26,* (partial)
2484,01-09,20:52:54.258,10264,ACQ,Doze (partial),7a690d26,* (partial)
2485,01-09,20:52:54.291,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2486,01-09,20:52:54.311,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2487,01-09,20:52:54.311,1001,REL,*telephony-radio*,3389dae3,*
2488,01-09,20:52:54.311,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2489,01-09,20:52:54.317,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2490,01-09,20:52:54.318,1001,REL,*telephony-radio*,3389dae3,*
2491,01-09,20:52:54.318,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2492,01-09,20:52:54.324,1000,REL,NetworkStats,3389dae3,*
2493,01-09,20:52:54.334,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2494,01-09,20:52:54.353,1001,ACQ,RILJ_ACK_WL (partial),7a690d26,* (partial)
2495,01-09,20:52:54.354,1000,REL,NetworkStats,3389dae3,*
2496,01-09,20:52:54.355,1001,ACQ,RILJ_ACK_WL (partial),7a690d26,* (partial)
2497,01-09,20:52:54.358,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2498,01-09,20:52:54.359,10120,ACQ,IWLAN_PROXY_WL (partial),7a690d26,* (partial)
2499,01-09,20:52:54.363,10120,ACQ,IWLAN_PROXY_WL (partial),7a690d26,* (partial)
2500,01-09,20:52:54.376,10120,REL,IWLAN_PROXY_WL,3389dae3,*
2501,01-09,20:52:54.382,1000,REL,NetworkStats,3389dae3,*
2502,01-09,20:52:54.383,10120,REL,IWLAN_PROXY_WL,3389dae3,*
2503,01-09,20:52:54.388,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2504,01-09,20:52:54.400,1000,REL,NetworkStats,3389dae3,*
2505,01-09,20:52:54.401,1001,REL,*telephony-radio*,3389dae3,*
2506,01-09,20:52:54.401,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2507,01-09,20:52:54.402,1001,REL,*telephony-radio*,3389dae3,*
2508,01-09,20:52:54.406,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2509,01-09,20:52:54.415,1001,REL,*telephony-radio*,3389dae3,*
2510,01-09,20:52:54.415,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2511,01-09,20:52:54.415,1001,REL,*telephony-radio*,3389dae3,*
2512,01-09,20:52:54.418,1000,REL,NetworkStats,3389dae3,*
2513,01-09,20:52:54.422,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2514,01-09,20:52:54.430,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2515,01-09,20:52:54.430,1001,REL,*telephony-radio*,3389dae3,*
2516,01-09,20:52:54.430,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2517,01-09,20:52:54.432,10120,ACQ,IWLAN_PROXY_WL (partial),7a690d26,* (partial)
2518,01-09,20:52:54.436,1000,REL,NetworkStats,3389dae3,*
2519,01-09,20:52:54.437,10120,REL,IWLAN_PROXY_WL,3389dae3,*
2520,01-09,20:52:54.442,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2521,01-09,20:52:54.447,1001,REL,*telephony-radio*,3389dae3,*
2522,01-09,20:52:54.448,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2523,01-09,20:52:54.448,1001,REL,*telephony-radio*,3389dae3,*
2524,01-09,20:52:54.456,1000,REL,NetworkStats,3389dae3,*
2525,01-09,20:52:54.467,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2526,01-09,20:52:54.468,1001,REL,*telephony-radio*,3389dae3,*
2527,01-09,20:52:54.468,1001,ACQ,*telephony-radio* (partial),7a690d26,* (partial)
2528,01-09,20:52:54.472,1001,REL,*telephony-radio*,3389dae3,*
